"title","rating","overview","release date","original language","director","actors","revenue","genres","genres_ru"
"Desperation Road","6.698","Ex-con Russell Gaines is attempting to rebuild his life with the help of his father, Mitchell. However, the arrival of Maben sends his new life into chaos, leading the pair to go on the run - as their violent pasts catch up to them, the pair must learn to trust each other if they hope to live out the rest of their days.","2023-10-19","en","Nadine Crocker","Willa Fitzgerald, Garrett Hedlund, Mel Gibson, Ryan Hurst, Ella Thomas","0","Thriller, Action, Crime, Drama","Триллер, Боевик, Криминал, Драма"
"Survive","4.409","A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.","2024-06-19","fr","Frédéric Jardin","Andreas Pietschmann, Émilie Dequenne, Lucas Ebel, Arben Bajraktaraj, Lisa Delamar","0","Thriller, Adventure, Action, Science Fiction","Триллер, Приключения, Боевик, Научная фантастика"
"The Shadow Strays","7.4","Skilled in the art of killing, a young assassin defies her mentor to save a boy from a ruthless crime syndicate — and she'll destroy anyone in her path.","2024-09-10","id","Timo Tjahjanto","Aurora Ribero, Hana Malasan, Andri Mashadi, Adipati Dolken, Kristo Immanuel","0","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"The Silent Hour","6.293","While working a case as an interpreter, a hearing-impaired police detective must confront a group of criminals trying to eliminate a deaf murder witness in her apartment building.","2024-10-03","en","Brad Anderson","Joel Kinnaman, Sandra Mae Frank, Mekhi Phifer, Mark Strong, Michael Eklund","0","Crime, Thriller, Action","Криминал, Триллер, Боевик"
"Blood for Dust","5.8","Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive.","2024-04-19","en","Rod Blackhurst","Scoot McNairy, Kit Harington, Josh Lucas, Stephen Dorff, Nora Zehetner","0","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Wolfs","6.601","Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.","2024-09-20","en","Jon Watts","George Clooney, Brad Pitt, Austin Abrams, Amy Ryan, Poorna Jagannathan","0","Comedy, Thriller, Action","Комедия, Триллер, Боевик"
"Kill 'em All 2","6.9","Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabouts are discovered by Vlad, the vengeful brother of their target from the first film.","2024-09-24","en","Valeri Milev","Jean-Claude Van Damme, Jacqueline Fernandez, Andrei Lenart, Peter Stormare, Talia Asseraf","0","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Twisters","6.962","As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.","2024-07-10","en","Lee Isaac Chung","Daisy Edgar-Jones, Glen Powell, Anthony Ramos, Brandon Perea, Maura Tierney","369590675","Thriller, Action","Триллер, Боевик"
"Hijack 1971","6.032","Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.","2024-06-21","ko","Kim Sung-han","Ha Jung-woo, Yeo Jin-goo, Sung Dong-il, Chae Soo-bin, Moon You-kang","14","Crime, Action, Thriller","Криминал, Боевик, Триллер"
"Bangkok Breaking: Heaven and Hell","6.6","When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner.","2024-09-26","th","Kongkiat Khomsiri","Sukollawat Kanarot, Atitaya Tribudarak, Sanya Kunakorn, Natthaya Ongsritragul, Day Thaitanium","0","Action, Crime, Drama, Thriller","Боевик, Криминал, Драма, Триллер"
"Kill","7.149","When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.","2024-07-03","hi","Nikhil Nagesh Bhat","Lakshya Lalwani, Raghav Juyal, Tanya Maniktala, Abhishek Chauhan, Ashish Vidhyarthi","5400000","Action, Crime, Thriller, Drama","Боевик, Криминал, Триллер, Драма"
"The Clean Up Crew","5.1","When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.","2024-09-12","en","Jon Keeyes","Jonathan Rhys Meyers, Melissa Leo, Antonio Banderas, Swen Temmel, Laurence Kinlan","0","Action, Crime, Thriller","Боевик, Криминал, Триллер"
"Hounds of War","6.5","After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.","2024-08-29","en","Isaac Florentine","Frank Grillo, Robert Patrick, Rhona Mitra, Leeshon Alexander, Urs Rechn","0","Action, Thriller","Боевик, Триллер"
"Seven Cemeteries","5.1","A recent parolee gets a Mexican witch to resurrect his old posse so that they can help him save a woman's ranch from a ruthless drug lord.","2024-10-11","en","John Gulager","Danny Trejo, Efren Ramirez, Maria Canals-Barrera, Lew Temple, Sal Lopez","0","Horror, Action, Fantasy, Thriller","Ужасы, Боевик, Фэнтези, Триллер"
"Skinford 2: The Curse","2","","2024-05-20","es","Nik Kacevski","","0","Thriller, Action","Триллер, Боевик"
"Twilight of the Warriors: Walled In","6.5","In 1980s Hong Kong, troubled youth Chan Lok-kwun, a mainland refugee, struggles to survive in the Kowloon Walled City by joining underground fights. Betrayed by crime boss Mr. Big while trying to buy a fake ID, he steals drugs from him and seeks refuge in the Walled City, where he encounters Cyclone, a compassionate yet authoritative crime lord.","2024-04-23","cn","Soi Cheang","Raymond Lam, Louis Koo, Terrance Lau, Tony Wu, German Cheung","95335412","Action, Adventure, Crime, Thriller","Боевик, Приключения, Криминал, Триллер"
"Rebel Ridge","7.024","A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.","2024-08-27","en","Jeremy Saulnier","Aaron Pierre, Don Johnson, AnnaSophia Robb, Emory Cohen, David Denman","0","Crime, Action, Thriller, Drama","Криминал, Боевик, Триллер, Драма"
"The Count of Monte-Cristo","8.4","Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.","2024-06-28","fr","Alexandre de La Patellière","Pierre Niney, Bastien Bouillon, Anaïs Demoustier, Anamaria Vartolomei, Laurent Lafitte","65594097","Adventure, History, Action, Drama, Romance, Thriller","Приключения, Исторический, Боевик, Драма, Романтика, Триллер"
"Dragon Ball Z: Bardock - The Father of Goku","7.5","Bardock, Son Goku's father, is a low-ranking Saiyan soldier who was given the power to see into the future by the last remaining alien on a planet he just destroyed. He witnesses the destruction of his race and must now do his best to stop Frieza's impending massacre.","1990-10-17","ja","Mitsuo Hashimoto","Masako Nozawa, Kazuyuki Sogabe, Yuko Mita, Takeshi Watabe, Kozo Shioya","0","Animation, Action, Science Fiction, Drama, Fantasy","Анимация, Боевик, Научная фантастика, Драма, Фэнтези"
"Lionheart","6.5","Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights.","1990-06-07","en","Sheldon Lettich","Jean-Claude Van Damme, Harrison Page, Lisa Pelikan, Ashley Johnson, Deborah Rennard","24271196","Action","Боевик"
"Dragon Ball Z: The Tree of Might","6.488","Goku and friends must stop a band of space pirates from consuming fruit from the Tree of Might before it's destructive powers drain Earth's energy.","1990-06-07","ja","Daisuke Nishio","Masako Nozawa, Toshio Furukawa, Mayumi Tanaka, Hirotaka Suzuoki, Naoko Watanabe","15000000","Action, Animation, Science Fiction","Боевик, Анимация, Научная фантастика"
"Dragon Ball Z: The World's Strongest","6.52","The evil Dr. Kochin uses the dragon balls to resurrect his mentor, Dr. Wheelo, in an effort to take over the world. Dr. Wheelo, his body having been destroyed by the avalanche that killed him fifty years before, desires the body of the strongest fighter in the world as his new vessel. Believing Roshi to be the world's strongest warrior, Dr. Kochin abducts Bulma and forces Roshi to surrender himself to save her. When Goku hears of their abduction, he goes to their rescue.","1990-03-10","ja","Daisuke Nishio","Masako Nozawa, Toshio Furukawa, Mayumi Tanaka, Hiromi Tsuru, Kohei Miyauchi","18000000","Action, Animation, Science Fiction","Боевик, Анимация, Научная фантастика"
"Captain America","4.5","During World War II, a brave, patriotic American Soldier undergoes experiments to become a new supersoldier, ""Captain America"". Racing to Germany to sabotage the rockets of Nazi baddie ""Red Skull"", Captain America winds up frozen until the 1990s. He reawakens to find that the Red Skull has changed identities and is now planning to kidnap the President of the United States.","1990-12-14","en","Albert Pyun","Matt Salinger, Ronny Cox, Ned Beatty, Darren McGavin, Michael Nouri","0","Action, Adventure, Science Fiction, War","Боевик, Приключения, Научная фантастика, Военный"
